config,operation,distribution,train_range,test_range,hill_space_matched_mse,hill_space_matched_epochs,hill_space_universal_mse,hill_space_universal_epochs
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",3.153077038168384e-30,100,3.153077038168384e-30,100
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",2.287215302631092e-31,70,2.287215302631092e-31,100
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",3.3187378282647966e-28,100,3.3187378282647966e-28,100
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",0.7300192953463002,100,4.71993429260813e-32,100
uniform_1.1_1.2_to_1.2_6,add,uniform,"1.1,1.2","1.2,6.0",3.4580149188670593e-31,100,3.4580149188670593e-31,100
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",6.939041016178835e-32,100,6.939041016178835e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.220978229311885e-30,100,4.220978229311885e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.4837568985037393e-32,100,3.4837568985037393e-32,100
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.847114909546116e-33,100,6.847114909546116e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.83115569764763e-33,100,2.83115569764763e-33,100
exponential_0.8_0.5,multiply,exponential,"0.8,0.8","0.5,0.5",2.4375216199812224e-33,40,2.4375216199812224e-33,100
exponential_0.8_0.5,divide,exponential,"0.8,0.8","0.5,0.5",1.1286144269875432e-28,100,1.1286144269875432e-28,100
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",1.3046280258158243e-30,100,1.3046280258158243e-30,100
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",1.727253937832832e-31,100,1.727253937832832e-31,100
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3297.001364311898,100,1.377893482388226e-28,100
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",4.0153713410529477e-32,6,4.0153713410529477e-32,100
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",3.1323694394063325e-30,100,3.1323694394063325e-30,100
normal_-3_3_to_8_10,subtract,truncated_normal,"-3.0,3.0","8.0,10.0",2.278414103988977e-31,70,2.278414103988977e-31,100
normal_-3_3_to_8_10,multiply,truncated_normal,"-3.0,3.0","8.0,10.0",3.342466764293845e-28,100,3.342466764293845e-28,100
normal_-3_3_to_8_10,divide,truncated_normal,"-3.0,3.0","8.0,10.0",4.7612647492146805e-32,20,4.7612647492146805e-32,100
uniform_1.1_1.2_to_1.2_6,add,uniform,"1.1,1.2","1.2,6.0",3.37629385946682e-31,100,3.37629385946682e-31,100
uniform_1.1_1.2_to_1.2_6,subtract,uniform,"1.1,1.2","1.2,6.0",6.957122572681392e-32,100,6.957122572681392e-32,100
uniform_1.1_1.2_to_1.2_6,multiply,uniform,"1.1,1.2","1.2,6.0",4.136622497747724e-30,100,4.136622497747724e-30,100
uniform_1.1_1.2_to_1.2_6,divide,uniform,"1.1,1.2","1.2,6.0",3.4896899664386674e-32,100,3.4896899664386674e-32,100
exponential_0.8_0.5,add,exponential,"0.8,0.8","0.5,0.5",6.704445606874669e-33,100,6.704445606874669e-33,100
exponential_0.8_0.5,subtract,exponential,"0.8,0.8","0.5,0.5",2.9315343607368568e-33,100,2.9315343607368568e-33,100
exponential_0.8_0.5,multiply,exponential,"0.8,0.8","0.5,0.5",2.465917361649237e-33,30,2.465917361649237e-33,100
exponential_0.8_0.5,divide,exponential,"0.8,0.8","0.5,0.5",1.310996956842865e-28,100,1.310996956842865e-28,100
uniform_-5_5_to_-10_-5,add,uniform,"-5.0,5.0","-10.0,-5.0",1.2962463786978514e-30,100,1.2962463786978514e-30,100
uniform_-5_5_to_-10_-5,subtract,uniform,"-5.0,5.0","-10.0,-5.0",1.714301723731811e-31,100,1.714301723731811e-31,100
uniform_-5_5_to_-10_-5,multiply,uniform,"-5.0,5.0","-10.0,-5.0",3294.719713443358,100,1.3679203083939695e-28,100
uniform_-5_5_to_-10_-5,divide,uniform,"-5.0,5.0","-10.0,-5.0",0.2114360606845718,100,4.008938735038695e-32,100
normal_-3_3_to_8_10,add,truncated_normal,"-3.0,3.0","8.0,10.0",3.154260329526216e-30,100,3.154260329526216e-30,100
